2023-01-23 16:55:43.726[1674492943726] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674492943700&signature=3c676106dac735d3958aa1cd50a39636906f3edc503040f236a2912d8748dab1
2023-01-23 17:10:54.131[1674493854131] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674493854101&signature=6684ade729af71c9b4cb3df32eb9278df02874aaadc8bfe2c2256da6fab6306a
2023-01-23 17:12:56.498[1674493976498] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674493976473&signature=89123846740f075e1300bfd60d63843c7347cfc4ee4c71bef95a4fb27f1c414f
2023-01-23 17:16:22.424[1674494182424] | INFO  | Thread-3   | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494182402&signature=481b12593f496e95c4b8a2e241da6befbbe4ffa9a7c26e4d7a50d673b1a7502d
2023-01-23 17:18:01.151[1674494281151] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494281116&signature=0373996c2b68b1e4a7bef05587cb79b9b5e24efe35bcbda7cb2e0c19bc51d62a
2023-01-23 17:18:01.900[1674494281900] | INFO  | Thread-4   | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494281900&signature=2e19740de5018089da0ca798fc2d3a8fc933ac2545128691da6d25201fb53a49
2023-01-23 17:18:02.108[1674494282108] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494282108&signature=a017fc42413bcc27d88aea07239534aa39aebe3e7f5c29fb2fee642fcc5362e4
2023-01-23 17:18:02.363[1674494282363] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price?symbol=BTCGBP
2023-01-23 17:19:54.885[1674494394885] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494394859&signature=75524abbfedd3306b1ee75ae64ef657ee329ae7588f7ba77a6f0db2a7fbcbcfd
2023-01-23 17:19:55.844[1674494395844] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:19:56.704[1674494396704] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:19:56.940[1674494396940] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494396940&signature=cbfccd4543998a3ac1f05fa7e6281c54bf9f0fffe6eb46a7bd319ad513ade226
2023-01-23 17:19:57.189[1674494397189] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price?symbol=BTCGBP
2023-01-23 17:19:57.461[1674494397461] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:19:57.691[1674494397691] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:19:57.930[1674494397930] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
